Nombre,Precio Entera,Precio Media,Detalles
"47. Lomo", 5.00, 4.50, "Ingredientes: . Alérgenos: "
"48. Lomo con queso", 5.50, 5.00, "Ingredientes: . Alérgenos: "
"49. Lomo completo", 6.00, 5.50, "Ingredientes: Lomo, Queso, Lechuga, Tomate y Cebolla. Alérgenos: "
"50. Bacon", 5.00, 4.50, "Ingredientes: . Alérgenos: "
"51. Bacon con queso", 5,50, 5.00, "Ingredientes: . Alérgenos: "
"52. Bacon completo", 6.00, 5.50, "Ingredientes: Bacon, Queso, Lechuga, Tomate y Cebolla. Alérgenos: "
"53. Pechuga", 5.00, 4.50, "Ingredientes: . Alérgenos: "
"54. Pechuga con queso", 5.50, 5.00, "Ingredientes: . Alérgenos: "
"55. Pechuga completo", 6.00, 5.50, "Ingredientes: Pechuga de pollo, Queso, Lechuga, Tomate y Cebolla. Alérgenos: "
"56. Criollo", 5.00, 4.50, "Ingredientes: . Alérgenos: "
"57. Criollo con queso", 5.50, 5.00, "Ingredientes: . Alérgenos: "
"58. Criollo completo", 6.00, 5.50, "Ingredientes: Criollo, Queso, Lechuga, Tomate y Cebolla. Alérgenos: "
"59. Chorizo  picante", 5.00, 4.50, "Ingredientes: . Alérgenos: "
"60. Chorizo picante con queso", 5.50, 5.00, "Ingredientes: . Alérgenos: "
"61. Chorizo picante completo", 6.00, 5.50, "Ingredientes: Chorizo picante, Queso, Lechuga, Tomate y Cebolla. Alérgenos: "
"62. Pepito", 6.50, 6.00, "Ingredientes: Filete de ternera. Alérgenos: "
"63. Pepito con queso", 7.00, 6.50, "Ingredientes: Filete de ternera, Queso. Alérgenos: "
"64. Pepito completo", 7.50, 7.00, "Ingredientes: Filete de ternera, Queso, Lechuga, Tomate y Cebolla. Alérgenos: "
"65. Jamón asado", 6.50, 6.00, "Ingredientes: . Alérgenos: "
"66. Jamón asado con queso", 7.00, 6.50, "Ingredientes: . Alérgenos: "
"67. Jamón asado completo", 7.50, 7.00, "Ingredientes: Jamón asado, Queso, Lechuga, Tomate y Cebolla. Alérgenos: "
"68. Tortilla francesa", 4.00, 3.50, "Ingredientes: . Alérgenos: "
"69. Tortilla francesa con queso", 4.50, 4.00, "Ingredientes: . Alérgenos: "
"70. Tortilla francesa completo", 5.00, 4.50, "Ingredientes: Huevo, Queso, Lechuga, Tomate y Cebolla. Alérgenos: "
"71. Salchicha con queso", 5.20, 4.20, "Ingredientes: . Alérgenos: "
"72. Calamares", 8.50, 7.00, "Ingredientes: . Alérgenos: "
"74. Zorza", 6.00, 5.00, "Ingredientes: . Alérgenos: "
