Nombre,Precio,Detalles
"401. Boletus", 6.00, "Cantidad: 6 unidades"
"402. Lacón con Grelos", 6.00, "Cantidad: 6 unidades"
"403. Cochinillo con manzana", 6.00, "Cantidad: 6 unidades"
"404. Serranito con queso", 6.00, "Cantidad: 6 unidades"
"405. Bacalao y ajo arriero", 6.00, "Cantidad: 6 unidades"
"406. Calabaza con parmesano", 6.00, "Cantidad: 6 unidades"
"407. Pollo al curry", 6.00, "Cantidad: 6 unidades"
"408. Arroz negro con Ali Oli", 6.00, "Cantidad: 6 unidades"
"409. Gambas al Ajillo", 6.00, "Cantidad: 6 unidades"
"410. Huevos y chorizo", 6.00, "Cantidad: 6 unidades"
"411. Jamón Ibérico", 6.00, "Cantidad: 6 unidades"
"412. Choco en su tinta", 6.00, "Cantidad: 6 unidades"
"413. Pulpo", 6.00, "Cantidad: 6 unidades"
"414. Bogabante", 8.00, "Cantidad: 6 unidades"
"415. Cocido", 8.00, "Cantidad: 6 unidades"
